khuddakapathapali	Khuddakapāṭhapāḷi	Tiểu Tụng	1
udanapali	Udānapāḷi	Phật Tự Thuyết	1
itivuttakapali	Itivuttakapāḷi	Phật Thuyết Như Vậy	1
vimanavatthupali	Vimānavatthupāḷi	Chuyện Thiên Cung	1
petavatthupali	Petavatthupāḷi	Chuyện Ngạ Quỷ	1
buddhavamsapali	Buddhavaṃsapāḷi	Phật Sử	1
cariyapitakapali	Cariyāpiṭakapāḷi	Sở Hạnh Tạng	1
parajikapali	Pārājikapāḷi	Bất Cộng Trụ	1
pacittiyapali	Pācittiyapāḷi	Ưng Đối Trị	1
culavaggapali	Cūḷavaggapāḷi	Tiểu Phẩm	1
kondanno	Kondanno	A-nhã Kiều-trần-như	1
jambudipa	Jambudìpa	Diêm-phủ-đề	1
a-ga-ma	A-gà-ma	A-hàm	1
sineru	Sineru	Tu-di	1
jambudita	Jambudìta	Diêm-phù-đề	1
aparagoyana	Aparagoyànà	Tây ngưu hóa châu	1
uttarakuru	Uttarakurù	Bắc-cu-vô châu	1
pubbavideha	Pubbavidehà	Đông thắng thần châu	1
loi	Lõi	Tinh túy	1
kukkuta	Kukkuta	Kê Viên	1
sunettto	Sunettto	Diệu Nhãn	1
raijagaha	Ràijagaha	Vương Xá	1
thuu	Thứu	Gijjhakùta	1
gijjihakuta	Gijjihakuta	Linh Thứu	1
candala	Candàla	Chiên-đà-la: hạ liệt	1
uttarakuruka	Uttarakurukà	Bắc Cu-lô châu	1
agama	Agama	A-hàm	1
amala	Amala	A-ma- lặc	1
quy	Quy	Saranattaya	1
gioi	Giới	Dasasikkhàpada	1
ao	Ðạo	Kumàrapanha	1
cu	Cú	Dhammapada	1
thuyet	Thuyết	Udàna	1
mahacunda	Mahàcunda	Đại-Thuần-đà	1
nanda	Nanda	Nan-đa	1
nho	Nhỏ	I	1
thanissaro	Thanissaro	Bình Anson lược dịch	1
nikaya	Nikàya	Tiểu Bộ Kinh	1
vong	Vong	Paràbhava	1
thoi	Thối	Amagandha	1
pundarika	Pundarika	Hoa sen	1
tuvataka	Tuvataka	Con đường mau chóng	1
visakha	Visàkhà	Tỳ-xá-khư	1
sakkha	Sakkha	Đế Thích	1
ty	Tỳ	Dàsi-Vimàra	1
bhadda	Bhaddà	Cát Tường	1
ma-kiet-a	Ma-kiệt-đà	Magadha	1
uong	đường	Sudhammà	1
kummara-kassapa	Kummàra-Kassapa	Cưu-ma-la Ca-diếp	1
kanthaka	Kanthaka	Ngựa Kiền-trắc	1
kumara-kassapa	Kumàra-Kassapa	Cưu-ma- la Ca-diếp	1
ien	Ðiền	Khettùpamà	1
rung	Rừng	Sukàra	1
avici	Avìci	Vô gián hay A-tỳ	1
bot	Bột	Pitthadhìtalika	1
dipankara	Dipankara	Nhiên Đăng	1
be	Bé	Pàncaputtakhadaka	1
det	Dệt	Mahàpesakàra	1
au	Ðầu	Khallàtiya	1
suvannabhumi	Suvannabhùmi	Kim Địa	1
ran	Rắn	Uraga	1
dhammapala	Dhammapala	Hộ pháp	1
hoi	Hồi	Samsàmocaka	1
anurudha	Anurudha	A-na-luật-đà	1
kapppina	Kapppina	Kiếp-tân-na	1
